종목코드,종목명,운용사,수익률,총 보수
412570,TIGER 2차전지TOP10레버리지,미래에셋자산운용,52.71,0.29
462330,KODEX 2차전지산업레버리지,삼성자산운용,49.17,0.49
415920,PLUS 글로벌희토류&전략자원생산기업,한화자산운용,33.42,0.5
243890,TIGER 200에너지화학레버리지,미래에셋자산운용,31.28,0.69
371470,TIGER 차이나바이오테크SOLACTIVE,미래에셋자산운용,26.01,0.49
364980,TIGER 2차전지TOP10,미래에셋자산운용,24.59,0.4
455860,SOL 2차전지소부장Fn,신한자산운용,24.14,0.45
305540,TIGER 2차전지테마,미래에셋자산운용,23.81,0.44
461950,KODEX 2차전지핵심소재10,삼성자산운용,23.56,0.39
305720,KODEX 2차전지산업,삼성자산운용,23.11,0.45
466810,BNK 2차전지양극재,비엔케이자산운용,22.6,0.395
462010,TIGER 2차전지소재Fn,미래에셋자산운용,21.16,0.39
0023A0,SOL 미국양자컴퓨팅TOP10,신한자산운용,19.54,0.45
475070,KoAct 글로벌친환경전력인프라액티브,삼성액티브자산운용,19.29,0.5
465330,RISE 2차전지TOP10,케이비자산운용,18.16,0.07
394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),미래에셋자산운용,17.28,0.49
0007G0,PLUS 글로벌원자력밸류체인,한화자산운용,16.72,0.39
487230,KODEX 미국AI전력핵심인프라,삼성자산운용,16.58,0.45
117460,KODEX 에너지화학,삼성자산운용,16.57,0.45
245710,ACE 베트남VN30(합성),한국투자신탁운용,16.48,0.7
469170,ACE 포스코그룹포커스,한국투자신탁운용,16.42,0.3
117680,KODEX 철강,삼성자산운용,16.27,0.45
0051G0,SOL 미국원자력SMR,신한자산운용,16.06,0.45
422420,RISE 2차전지액티브,케이비자산운용,16.0,0.35
461910,PLUS 미국테크TOP10레버리지(합성),한화자산운용,15.82,0.5
417450,RISE 글로벌수소경제,케이비자산운용,15.45,0.4
204480,TIGER 차이나CSI300레버리지(합성),미래에셋자산운용,15.34,0.58
488200,KIWOOM K-2차전지북미공급망,키움투자자산운용,15.05,0.49
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),한국투자신탁운용,14.85,0.6
473490,KIWOOM 글로벌AI반도체,키움투자자산운용,14.68,0.4
139240,TIGER 200 철강소재,미래에셋자산운용,14.64,0.34
139250,TIGER 200 에너지화학,미래에셋자산운용,14.62,0.34
419420,KODEX 미국클린에너지나스닥,삼성자산운용,14.5,0.45
456680,TIGER 차이나전기차레버리지(합성),미래에셋자산운용,14.36,0.58
491010,TIGER 글로벌AI전력인프라액티브,미래에셋자산운용,14.05,0.49
381570,HANARO Fn친환경에너지,엔에이치아문디자산운용,13.65,0.45
138910,KODEX 구리선물(H),삼성자산운용,13.63,0.68
0008E0,ACE 미국중심중소형제조업,한국투자신탁운용,13.56,0.45
306530,HANARO 코스닥150선물레버리지,엔에이치아문디자산운용,13.54,0.45
489010,PLUS 글로벌AI인프라,한화자산운용,13.5,0.45
256450,PLUS 심천차이넥스트(합성),한화자산운용,13.47,0.5
278240,RISE 코스닥150선물레버리지,케이비자산운용,13.46,0.6
233160,TIGER 코스닥150 레버리지,미래에셋자산운용,13.45,0.32
219900,ACE 중국본토CSI300레버리지(합성),한국투자신탁운용,13.36,0.5
385600,ACE 2차전지&친환경차액티브,한국투자신탁운용,13.29,0.29
486450,SOL 미국AI전력인프라,신한자산운용,13.28,0.45
413220,SOL 차이나태양광CSI(합성),신한자산운용,13.11,0.5
261070,TIGER 코스닥150바이오테크,미래에셋자산운용,13.08,0.4
428510,KODEX 차이나AI테크액티브,삼성자산운용,13.08,0.5
233740,KODEX 코스닥150레버리지,삼성자산운용,12.98,0.64
256750,KODEX 차이나심천ChiNext(합성),삼성자산운용,12.89,0.47
291630,KIWOOM 코스닥150선물레버리지,키움투자자산운용,12.67,0.09
449680,TIGER 한중전기차(합성),미래에셋자산운용,12.67,0.35
450180,KODEX 한중전기차(합성),삼성자산운용,12.36,0.25
462900,KoAct 바이오헬스케어액티브,삼성액티브자산운용,12.36,0.5
377990,TIGER Fn신재생에너지,미래에셋자산운용,12.19,0.5
138530,TIGER LG그룹+펀더멘털,미래에셋자산운용,12.16,0.15
381560,HANARO Fn전기&수소차,엔에이치아문디자산운용,12.1,0.45
0043Y0,TIMEFOLIO 차이나AI테크액티브,타임폴리오자산운용,11.9,0.8
418660,TIGER 미국나스닥100레버리지(합성),미래에셋자산운용,11.57,0.25
412560,TIGER BBIG레버리지,미래에셋자산운용,11.46,0.59
419430,KODEX 차이나2차전지MSCI(합성),삼성자산운용,11.21,0.25
364970,TIGER 바이오TOP10,미래에셋자산운용,11.18,0.4
476070,KODEX 글로벌비만치료제TOP2 Plus,삼성자산운용,11.17,0.45
491830,TIGER 미국AI반도체팹리스,미래에셋자산운용,11.11,0.49
498050,HANARO 바이오코리아액티브,엔에이치아문디자산운용,10.89,0.5
0005D0,SOL 전고체배터리&실리콘음극재,신한자산운용,10.89,0.45
266420,KODEX 헬스케어,삼성자산운용,10.88,0.09
0020H0,KoAct 글로벌양자컴퓨팅액티브,삼성액티브자산운용,10.87,0.5
394660,TIGER 글로벌자율주행&전기차SOLACTIVE,미래에셋자산운용,10.86,0.49
463050,TIMEFOLIO K바이오액티브,타임폴리오자산운용,10.82,0.8
143860,TIGER 헬스케어,미래에셋자산운용,10.8,0.4
464930,TIGER 글로벌혁신블루칩TOP10,미래에셋자산운용,10.78,0.48
466920,SOL 조선TOP3플러스,신한자산운용,10.77,0.45
0023B0,PLUS 미국양자컴퓨팅TOP10,한화자산운용,10.75,0.45
419650,PLUS 글로벌수소&차세대연료전지,한화자산운용,10.66,0.5
466950,TIGER 글로벌AI액티브,미래에셋자산운용,10.65,0.79
438320,TIGER 차이나항셍테크레버리지(합성 H),미래에셋자산운용,10.65,0.58
0000J0,PLUS 한화그룹주,한화자산운용,10.6,0.19
445150,KODEX 친환경조선해운액티브,삼성자산운용,10.53,0.5
306950,KODEX KRX300레버리지,삼성자산운용,10.52,0.64
487240,KODEX AI전력핵심설비,삼성자산운용,10.51,0.39
494670,TIGER 조선TOP10,미래에셋자산운용,10.47,0.35
446700,RISE 배터리 리사이클링,케이비자산운용,10.44,0.4
494840,TIGER 미국방산TOP10,미래에셋자산운용,10.41,0.45
354350,HANARO 글로벌럭셔리S&P(합성),엔에이치아문디자산운용,10.38,0.5
314700,HANARO 농업융복합산업,엔에이치아문디자산운용,10.38,0.5
391600,ACE 미국친환경그린테마INDXX,한국투자신탁운용,10.32,0.7
253280,RISE 헬스케어,케이비자산운용,10.3,0.4
334690,RISE 팔라듐선물(H),케이비자산운용,10.17,0.6
368680,KODEX K-뉴딜디지털플러스,삼성자산운용,10.17,0.09
368190,HANARO Fn K-뉴딜디지털플러스,엔에이치아문디자산운용,10.16,0.45
491820,HANARO 전력설비투자,엔에이치아문디자산운용,10.11,0.35
486790,HANARO 코스닥150선물레버리지1.5X,엔에이치아문디자산운용,10.06,0.25
473460,KODEX 미국서학개미,삼성자산운용,10.03,0.25
490590,RISE 미국AI밸류체인데일리고정커버드콜,케이비자산운용,9.97,0.25
253150,PLUS 200선물레버리지,한화자산운용,9.96,0.06
457990,PLUS 태양광&ESS,한화자산운용,9.95,0.45
390400,KODEX 미국스마트모빌리티S&P,삼성자산운용,9.94,0.09
152500,ACE 레버리지,한국투자신탁운용,9.94,0.3
415760,SOL 차이나육성산업액티브(합성),신한자산운용,9.74,0.55
253250,KIWOOM 200선물레버리지,키움투자자산운용,9.74,0.46
123320,TIGER 레버리지,미래에셋자산운용,9.72,0.022
122630,KODEX 레버리지,삼성자산운용,9.69,0.64
441540,HANARO Fn조선해운,엔에이치아문디자산운용,9.69,0.45
252400,RISE 200선물레버리지,케이비자산운용,9.68,0.6
385510,KODEX 신재생에너지액티브,삼성자산운용,9.6,0.5
267770,TIGER 200선물레버리지,미래에셋자산운용,9.57,0.022
498270,KIWOOM 미국양자컴퓨팅,키움투자자산운용,9.55,0.49
203780,TIGER 미국나스닥바이오,미래에셋자산운용,9.55,0.3
0047A0,TIGER 차이나테크TOP10,미래에셋자산운용,9.55,0.49
0048K0,KODEX 차이나휴머노이드로봇,삼성자산운용,9.54,0.45
491090,KODEX 미국테크TOP3플러스,삼성자산운용,9.52,0.3
304780,HANARO 200선물레버리지,엔에이치아문디자산운용,9.47,0.45
485540,KODEX 미국AI테크TOP10,삼성자산운용,9.43,0.3
440910,WON 미국우주항공방산,우리자산운용,9.42,0.35
227550,TIGER 200 산업재,미래에셋자산운용,9.28,0.4
461580,TIGER 코스닥글로벌,미래에셋자산운용,9.25,0.15
485690,RISE 미국AI밸류체인TOP3Plus,케이비자산운용,9.25,0.01
494340,ACE 글로벌AI맞춤형반도체,한국투자신탁운용,9.23,0.45
0000Z0,RISE 바이오TOP10액티브,케이비자산운용,9.16,0.5
429980,SOL 한국형글로벌전기차&2차전지액티브,신한자산운용,9.16,0.55
483340,ACE 구글밸류체인액티브,한국투자신탁운용,9.13,0.45
456600,TIMEFOLIO 글로벌AI인공지능액티브,타임폴리오자산운용,8.98,0.8
204450,KODEX 차이나H레버리지(H),삼성자산운용,8.91,0.64
200030,KODEX 미국S&P500산업재(합성),삼성자산운용,8.88,0.25
483280,KODEX 미국AI테크TOP10타겟커버드콜,삼성자산운용,8.88,0.39
461340,HANARO 글로벌생성형AI액티브,엔에이치아문디자산운용,8.84,0.6
396510,TIGER 차이나클린에너지SOLACTIVE,미래에셋자산운용,8.83,0.49
395170,KODEX Top10동일가중,삼성자산운용,8.82,0.15
497570,TIGER 미국필라델피아AI반도체나스닥,미래에셋자산운용,8.79,0.49
414780,TIGER 차이나과창판STAR50(합성),미래에셋자산운용,8.79,0.09
456250,KODEX 유럽명품TOP10 STOXX,삼성자산운용,8.76,0.45
416090,ACE 중국과창판STAR50,한국투자신탁운용,8.71,0.5
0028X0,KODEX 미국금융테크액티브,삼성자산운용,8.68,0.45
423920,TIGER 미국필라델피아반도체레버리지(합성),미래에셋자산운용,8.64,0.58
0018Z0,RISE 미국양자컴퓨팅,케이비자산운용,8.62,0.4
482030,KoAct 테크핵심소재공급망액티브,삼성액티브자산운용,8.61,0.5
0051A0,KoAct 브로드컴밸류체인액티브,삼성액티브자산운용,8.58,0.5
478150,TIMEFOLIO 글로벌우주테크&방산액티브,타임폴리오자산운용,8.56,0.8
399580,RISE 글로벌클린에너지,케이비자산운용,8.54,0.4
480310,TIGER 글로벌온디바이스AI,미래에셋자산운용,8.5,0.49
225040,TIGER 미국S&P500레버리지(합성 H),미래에셋자산운용,8.5,0.27
0001P0,마이티 바이오시밀러&CDMO액티브,디비자산운용,8.49,0.805
490090,TIGER 미국AI빅테크10,미래에셋자산운용,8.45,0.3
276990,KODEX 글로벌로봇(합성),삼성자산운용,8.43,0.3
0047R0,RISE 팔란티어고정테크100,케이비자산운용,8.39,0.2
0041D0,KODEX 미국AI소프트웨어TOP10,삼성자산운용,8.36,0.45
213610,KODEX 삼성그룹밸류,삼성자산운용,8.34,0.09
483570,KCGI 미국S&P500 TOP10,케이씨지아이자산운용,8.3,0.36
283580,KODEX 차이나CSI300,삼성자산운용,8.3,0.12
227540,TIGER 200 헬스케어,미래에셋자산운용,8.28,0.4
497520,ACE 일라이릴리밸류체인,한국투자신탁운용,8.24,0.45
309230,ACE 미국WideMoat동일가중,한국투자신탁운용,8.21,0.4
481190,SOL 미국테크TOP10,신한자산운용,8.17,0.05
108450,ACE 삼성그룹섹터가중,한국투자신탁운용,8.17,0.15
449450,PLUS K방산,한화자산운용,8.12,0.45
415340,KODEX 차이나과창판STAR50(합성),삼성자산운용,8.11,0.09
494330,ACE 라이프자산주주가치액티브,한국투자신탁운용,8.08,0.5
489860,KIWOOM 글로벌전력GRID인프라,키움투자자산운용,8.08,0.49
091180,KODEX 자동차,삼성자산운용,8.06,0.45
461450,KODEX 코스닥글로벌,삼성자산운용,8.05,0.09
168580,ACE 중국본토CSI300,한국투자신탁운용,8.05,0.7
0013P0,RISE 미국은행TOP10,케이비자산운용,8.01,0.2
381170,TIGER 미국테크TOP10 INDXX,미래에셋자산운용,7.94,0.49
371460,TIGER 차이나전기차SOLACTIVE,미래에셋자산운용,7.93,0.49
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),한국투자신탁운용,7.92,0.45
411420,KODEX 미국나스닥AI테크액티브,삼성자산운용,7.92,0.5
464310,TIGER 글로벌AI&로보틱스 INDXX,미래에셋자산운용,7.9,0.49
234310,RISE V&S셀렉트밸류,케이비자산운용,7.9,0.3
495940,RISE 미국AI테크액티브,케이비자산운용,7.9,0.5
192090,TIGER 차이나CSI300,미래에셋자산운용,7.9,0.63
459560,KODEX 테슬라밸류체인FactSet,삼성자산운용,7.89,0.18
220130,SOL 차이나강소기업CSI500(합성 H),신한자산운용,7.89,0.6
174360,RISE 중국본토대형주CSI100,케이비자산운용,7.87,0.65
404260,KODEX 기후변화솔루션,삼성자산운용,7.87,0.09
471780,TIGER 코리아테크액티브,미래에셋자산운용,7.83,0.77
373490,KODEX 코리아혁신성장액티브,삼성자산운용,7.79,0.5
0067Y0,TIGER 차이나AI소프트웨어,미래에셋자산운용,7.78,0.49
371160,TIGER 차이나항셍테크,미래에셋자산운용,7.75,0.09
0053L0,TIGER 차이나휴머노이드로봇,미래에셋자산운용,7.74,0.49
228820,TIGER KTOP30,미래에셋자산운용,7.71,0.21
245350,TIGER 유로스탁스배당30,미래에셋자산운용,7.71,0.35
409820,KODEX 미국나스닥100레버리지(합성 H),삼성자산운용,7.71,0.3
0038A0,KODEX 미국휴머노이드로봇,삼성자산운용,7.68,0.45
404540,TIGER KRX기후변화솔루션,미래에셋자산운용,7.67,0.09
372330,KODEX 차이나항셍테크,삼성자산운용,7.63,0.12
223190,KODEX 200가치저변동,삼성자산운용,7.62,0.3
404650,SOL KRX기후변화솔루션,신한자산운용,7.59,0.15
461900,PLUS 미국테크TOP10,한화자산운용,7.57,0.01
490480,SOL K방산,신한자산운용,7.57,0.45
465580,ACE 미국빅테크TOP7 Plus,한국투자신탁운용,7.56,0.3
367770,RISE 수소경제테마,케이비자산운용,7.55,0.45
229720,KODEX KTOP30,삼성자산운용,7.54,0.25
433220,에셋플러스 글로벌대장장이액티브,에셋플러스자산운용,7.45,0.99
426020,TIMEFOLIO 미국S&P500액티브,타임폴리오자산운용,7.43,0.8
463300,RISE 중국본토CSI300,케이비자산운용,7.42,0.05
185680,KODEX 미국S&P바이오(합성),삼성자산운용,7.36,0.25
486780,HANARO 200선물레버리지1.5X,엔에이치아문디자산운용,7.3,0.25
140570,RISE 수출주,케이비자산운용,7.27,0.4
474920,에셋플러스 차이나일등기업포커스10액티브,에셋플러스자산운용,7.22,0.99
102780,KODEX 삼성그룹,삼성자산운용,7.22,0.25
117690,TIGER 차이나항셍30,미래에셋자산운용,7.2,0.4
493810,TIGER 미국AI빅테크10타겟데일리커버드콜,미래에셋자산운용,7.19,0.25
0041E0,KODEX 미국S&P500액티브,삼성자산운용,7.14,0.45
489290,WON 미국빌리어네어,우리자산운용,7.14,0.49
407310,HANARO 200 TOP10,엔에이치아문디자산운용,7.12,0.15
102960,KODEX 기계장비,삼성자산운용,7.09,0.45
371150,RISE 차이나항셍테크,케이비자산운용,7.07,0.14
145850,TREX 펀더멘탈 200,유리에셋,7.07,0.34
491620,RISE 미국테크100데일리고정커버드콜,케이비자산운용,7.03,0.25
364960,TIGER BBIG,미래에셋자산운용,6.99,0.4
465670,TIGER 미국캐시카우100,미래에셋자산운용,6.96,0.25
441330,KIWOOM 차이나A50커넥트MSCI,키움투자자산운용,6.96,0.2
411540,SOL 200 Top10,신한자산운용,6.94,0.15
261140,TIGER 우선주,미래에셋자산운용,6.94,0.29
371870,ACE 차이나항셍테크,한국투자신탁운용,6.94,0.25
429010,TIGER 미국나스닥넥스트100,미래에셋자산운용,6.91,0.49
099140,KODEX 차이나H,삼성자산운용,6.9,0.12
277540,ACE 아시아TOP50S&P,한국투자신탁운용,6.86,0.7
138540,TIGER 현대차그룹+펀더멘털,미래에셋자산운용,6.85,0.15
394350,KIWOOM 글로벌퓨처모빌리티,키움투자자산운용,6.84,0.31
483320,ACE 엔비디아밸류체인액티브,한국투자신탁운용,6.82,0.45
245360,TIGER 차이나HSCEI,미래에셋자산운용,6.8,0.29
399110,SOL 미국S&P500ESG,신한자산운용,6.78,0.15
387280,TIGER 퓨처모빌리티액티브,미래에셋자산운용,6.77,0.77
304770,HANARO 코스닥150,엔에이치아문디자산운용,6.75,0.2
396520,TIGER 차이나반도체FACTSET,미래에셋자산운용,6.71,0.49
332940,HANARO MSCI Korea TR,엔에이치아문디자산운용,6.67,0.12
490330,KoAct 미국뇌질환치료제액티브,삼성액티브자산운용,6.66,0.5
310080,RISE 중국MSCI China(H),케이비자산운용,6.64,0.6
375270,RISE 글로벌데이터센터리츠(합성),케이비자산운용,6.62,0.4
474220,TIGER 미국테크TOP10타겟커버드콜,미래에셋자산운용,6.62,0.5
0015B0,KoAct 미국나스닥성장기업액티브,삼성액티브자산운용,6.61,0.5
479620,SOL 미국AI반도체칩메이커,신한자산운용,6.56,0.45
426030,TIMEFOLIO 미국나스닥100액티브,타임폴리오자산운용,6.56,0.8
0005A0,KODEX 미국S&P500데일리커버드콜OTM,삼성자산운용,6.55,0.25
266160,RISE 고배당,케이비자산운용,6.52,0.2
298770,KODEX 한국대만IT프리미어,삼성자산운용,6.52,0.55
450910,SOL 코스닥150,신한자산운용,6.5,0.15
232080,TIGER 코스닥150,미래에셋자산운용,6.49,0.19
444200,SOL 코리아메가테크액티브,신한자산운용,6.45,0.55
229200,KODEX 코스닥150,삼성자산운용,6.44,0.25
464060,HANARO 글로벌반도체TOP10 SOLACTIVE,엔에이치아문디자산운용,6.43,0.45
444490,WON 미국S&P500,우리자산운용,6.42,0.05
354500,ACE 코스닥150,한국투자신탁운용,6.4,0.02
494410,PLUS 미국S&P500성장주,한화자산운용,6.39,0.006
463680,KODEX 미국S&P500테크놀로지,삼성자산운용,6.37,0.25
301400,PLUS 코스닥150,한화자산운용,6.36,0.15
463640,KODEX 미국S&P500유틸리티,삼성자산운용,6.36,0.25
270810,RISE 코스닥150,케이비자산운용,6.35,0.18
482730,TIGER 미국S&P500타겟데일리커버드콜,미래에셋자산운용,6.35,0.25
138520,TIGER 삼성그룹펀더멘털,미래에셋자산운용,6.34,0.113
426330,KIWOOM 미국ETF산업STOXX,키움투자자산운용,6.33,0.52
453660,KODEX 미국S&P500경기소비재,삼성자산운용,6.31,0.25
429760,PLUS 미국S&P500,한화자산운용,6.29,0.07
244580,KODEX 바이오,삼성자산운용,6.27,0.45
494300,KODEX 미국나스닥100데일리커버드콜OTM,삼성자산운용,6.27,0.25
316670,KIWOOM 코스닥150,키움투자자산운용,6.27,0.15
451150,에셋플러스 글로벌영에이지액티브,에셋플러스자산운용,6.26,0.99
483420,ACE 애플밸류체인액티브,한국투자신탁운용,6.25,0.45
432840,HANARO 미국S&P500,엔에이치아문디자산운용,6.23,0.045
0004G0,1Q 미국배당TOP30,하나자산운용,6.22,0.1
360200,ACE 미국S&P500,한국투자신탁운용,6.22,0.004
379780,RISE 미국S&P500,케이비자산운용,6.21,0.004
360750,TIGER 미국S&P500,미래에셋자산운용,6.21,0.006
460660,RISE 미국S&P배당킹,케이비자산운용,6.21,0.01
477490,에셋플러스 글로벌일등기업포커스10액티브,에셋플러스자산운용,6.21,0.99
433330,SOL 미국S&P500,신한자산운용,6.2,0.05
387270,TIGER 글로벌이노베이션액티브,미래에셋자산운용,6.18,0.55
429000,TIGER 미국S&P500배당귀족,미래에셋자산운용,6.17,0.25
379800,KODEX 미국S&P500,삼성자산운용,6.17,0.006
483330,ACE 마이크로소프트밸류체인액티브,한국투자신탁운용,6.15,0.45
0040S0,HANARO 글로벌피지컬AI액티브,엔에이치아문디자산운용,6.14,0.6
497510,ACE 글로벌빅파마,한국투자신탁운용,6.12,0.3
0026S0,1Q 미국S&P500,하나자산운용,6.09,0.005
196030,ACE 일본TOPIX레버리지(H),한국투자신탁운용,6.08,0.5
483030,KIWOOM 미국블록버스터바이오테크의약품+,키움투자자산운용,6.08,0.49
486290,TIGER 미국나스닥100타겟데일리커버드콜,미래에셋자산운용,6.08,0.25
449770,KIWOOM 미국S&P500,키움투자자산운용,6.07,0.021
367380,ACE 미국나스닥100,한국투자신탁운용,6.03,0.006
278540,KODEX MSCI Korea TR,삼성자산운용,6.0,0.09
133690,TIGER 미국나스닥100,미래에셋자산운용,5.99,0.7
488500,TIGER 미국S&P500동일가중,미래에셋자산운용,5.96,0.2
476000,UNICORN 포스트IPO액티브,현대자산운용,5.96,0.5
379810,KODEX 미국나스닥100,삼성자산운용,5.96,0.006
245340,TIGER 미국다우존스30,미래에셋자산운용,5.94,0.35
368590,RISE 미국나스닥100,케이비자산운용,5.91,0.006
476030,SOL 미국나스닥100,신한자산운용,5.91,0.05
442320,RISE 글로벌원자력,케이비자산운용,5.91,0.4
390390,KODEX 미국반도체,삼성자산운용,5.9,0.09
385590,ACE ESG액티브,한국투자신탁운용,5.87,0.5
304760,HANARO KRX300,엔에이치아문디자산운용,5.87,0.05
0046Y0,ACE 미국배당퀄리티,한국투자신탁운용,5.85,0.15
0047N0,PLUS 차이나AI테크TOP10,한화자산운용,5.85,0.49
494210,SOL 미국500타겟데일리커버드콜액티브,신한자산운용,5.82,0.35
0069M0,1Q 미국나스닥100,하나자산운용,5.79,0.005
463250,TIGER K방산&우주,미래에셋자산운용,5.79,0.45
466930,SOL 자동차TOP3플러스,신한자산운용,5.74,0.45
472160,TIGER 미국테크TOP10 INDXX(H),미래에셋자산운용,5.67,0.49
0025N0,TIGER TDF2045,미래에셋자산운용,5.59,0.19
407830,에셋플러스 글로벌플랫폼액티브,에셋플러스자산운용,5.55,0.99
0021C0,ACE 장기자산배분액티브,한국투자신탁운용,5.52,0.4
375770,KODEX 탄소효율그린뉴딜,삼성자산운용,5.5,0.09
481180,SOL 미국AI소프트웨어,신한자산운용,5.49,0.45
325020,KODEX 배당가치,삼성자산운용,5.46,0.3
251350,KODEX MSCI선진국,삼성자산운용,5.45,0.3
403790,마이다스 코스피액티브,마이다스에셋,5.45,0.62
459790,KIWOOM 미국성장기업30액티브,키움투자자산운용,5.43,0.76
0060H0,TIGER 토탈월드스탁액티브,미래에셋자산운용,5.4,0.25
169950,KODEX 차이나A50,삼성자산운용,5.39,0.12
476690,TIGER 글로벌비만치료제TOP2Plus,미래에셋자산운용,5.34,0.45
292500,SOL KRX300,신한자산운용,5.34,0.05
476310,RISE 글로벌비만산업TOP2+,케이비자산운용,5.32,0.35
459750,RISE 글로벌주식분산액티브,케이비자산운용,5.31,0.2
376410,TIGER 탄소효율그린뉴딜,미래에셋자산운용,5.31,0.09
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),미래에셋자산운용,5.3,0.39
276650,RISE 글로벌테크놀로지(합성 H),케이비자산운용,5.29,0.4
458730,TIGER 미국배당다우존스,미래에셋자산운용,5.27,0.01
310970,TIGER MSCI Korea TR,미래에셋자산운용,5.27,0.12
225050,TIGER 유로스탁스레버리지(합성 H),미래에셋자산운용,5.26,0.58
446720,SOL 미국배당다우존스,신한자산운용,5.23,0.01
448570,FOCUS AI코리아액티브,브이아이자산운용,5.22,0.455
289040,KODEX MSCI KOREA ESG유니버설,삼성자산운용,5.21,0.3
292190,KODEX KRX300,삼성자산운용,5.21,0.05
292050,RISE KRX300,케이비자산운용,5.2,0.05
475720,RISE 200위클리커버드콜,케이비자산운용,5.19,0.3
337160,KODEX 200ESG,삼성자산운용,5.18,0.09
411860,KIWOOM 독일DAX,키움투자자산운용,5.16,0.25
122090,PLUS 코스피50,한화자산운용,5.14,0.33
156080,KODEX MSCI Korea,삼성자산운용,5.14,0.09
